"date";"category";"value"
"2025-03-31";"Чукотский автономный округ";133302
"2025-03-31";"Ямало-Ненецкий автономный округ";127560
"2025-03-31";"Ярославская область";77709
"2025-02-28";"Алтайский край";87802
"2025-02-28";"Амурская область";128056
"2025-02-28";"Архангельская область";104137
"2025-02-28";"Астраханская область";73420
"2025-02-28";"Белгородская область";78693
"2025-02-28";"Брянская область";68623
"2025-02-28";"Владимирская область";72112
"2025-02-28";"Волгоградская область";80322
"2025-02-28";"Вологодская область";76910
"2025-02-28";"Воронежская область";89153
"2025-02-28";"Еврейская автономная область";81922
"2025-02-28";"Забайкальский край";107254
"2025-02-28";"Ивановская область";72034
"2025-02-28";"Иркутская область";91376
"2025-02-28";"Кабардино-Балкарская Республика";67109
"2025-02-28";"Калининградская область";106905
"2025-02-28";"Калужская область";90426
"2025-02-28";"Камчатский край";127846
"2025-02-28";"Карачаево-Черкесская Республика";84932
"2025-02-28";"Кемеровская область";79776
"2025-02-28";"Кировская область";83201
"2025-02-28";"Костромская область";69104
"2025-02-28";"Краснодарский край";142139
"2025-02-28";"Красноярский край";90480
"2025-02-28";"Курганская область";70782
"2025-02-28";"Курская область";91361
"2025-02-28";"Ленинградская область";128172
"2025-02-28";"Липецкая область";73085
"2025-02-28";"Магаданская область";121161
"2025-02-28";"Москва";299786
"2025-02-28";"Московская область";147249
"2025-02-28";"Мурманская область";80759
"2025-02-28";"Ненецкий автономный округ";100196
"2025-02-28";"Нижегородская область";104779
"2025-02-28";"Новгородская область";80905
"2025-02-28";"Новосибирская область";110635
"2025-02-28";"Омская область";97734
"2025-02-28";"Оренбургская область";67888
"2025-02-28";"Орловская область";74989
"2025-02-28";"Пензенская область";77410
"2025-02-28";"Пермский край";76689
"2025-02-28";"Приморский край";132242
"2025-02-28";"Псковская область";71554
"2025-02-28";"Республика Адыгея";93588
"2025-02-28";"Республика Алтай";170588
"2025-02-28";"Республика Башкортостан";79579
"2025-02-28";"Республика Бурятия";122183
"2025-02-28";"Республика Дагестан";84717
"2025-02-28";"Республика Ингушетия";34446
"2025-02-28";"Республика Калмыкия";93900
"2025-02-28";"Республика Карелия";86473
"2025-02-28";"Республика Коми";73359
"2025-02-28";"Республика Крым";163204
"2025-02-28";"Республика Марий Эл";83210
"2025-02-28";"Республика Мордовия";84714
"2025-02-28";"Республика Саха (Якутия)";127850
"2025-02-28";"Республика Северная Осетия — Алания";82141
"2025-02-28";"Республика Татарстан";110251
"2025-02-28";"Республика Тыва";108941
"2025-02-28";"Республика Хакасия";79723
"2025-02-28";"Россия";112491
"2025-02-28";"Ростовская область";93580
"2025-02-28";"Рязанская область";75981
"2025-02-28";"Самарская область";88751
"2025-02-28";"Санкт-Петербург";202147
"2025-02-28";"Саратовская область";76013
"2025-02-28";"Сахалинская область";137033
"2025-02-28";"Свердловская область";91144
"2025-02-28";"Севастополь";149117
"2025-02-28";"Смоленская область";64783
"2025-02-28";"Ставропольский край";94225
"2025-02-28";"Тамбовская область";74790
"2025-02-28";"Тверская область";82253
"2025-02-28";"Томская область";97434
"2025-02-28";"Тульская область";82035
"2025-02-28";"Тюменская область";98559
"2025-02-28";"Удмуртская Республика";80988
"2025-02-28";"Ульяновская область";77525
"2025-02-28";"Хабаровский край";90957
"2025-02-28";"Ханты-Мансийский автономный округ — Югра";89492
"2025-02-28";"Челябинская область";75773
"2025-02-28";"Чеченская Республика";35881
"2025-02-28";"Чувашская Республика";91260
"2025-02-28";"Чукотский автономный округ";133994
